Gate Voltage,Drain Current,,,,,,
0.00E+00,2.73E-17,,,,,,
1.00E-02,2.79E-17,,,,,,
2.00E-02,2.73E-17,,,,,,
3.00E-02,2.82E-17,,,,,,
4.00E-02,2.66E-17,,,,,,
5.00E-02,2.71E-17,,,,,,
6.00E-02,2.77E-17,,,,,,
7.00E-02,2.64E-17,,,,,,
8.00E-02,2.77E-17,,,,,,
9.00E-02,2.85E-17,,,,,,
1.00E-01,2.81E-17,,,,,,
1.10E-01,2.60E-17,,,,,,
1.20E-01,2.77E-17,,,,,,
1.30E-01,2.62E-17,,,,,,
1.40E-01,3.15E-17,,,,,,
1.50E-01,4.91E-17,,,,,,
1.60E-01,1.28E-16,,,,,,
1.70E-01,4.74E-16,,,,,,
1.80E-01,1.83E-15,,,,,,
1.90E-01,6.76E-15,,,,,,
2.00E-01,2.31E-14,,,,,,
2.10E-01,7.21E-14,,,,,,
2.20E-01,2.04E-13,,,,,,
2.30E-01,5.31E-13,,,,,,
2.40E-01,1.28E-12,,,,,,
2.50E-01,2.91E-12,,,,,,
2.60E-01,6.35E-12,,,,,,
2.70E-01,1.34E-11,,,,,,
2.80E-01,2.74E-11,,,,,,
2.90E-01,5.46E-11,,,,,,
3.00E-01,1.06E-10,,,,,,
3.10E-01,2.03E-10,,,,,,
3.20E-01,3.78E-10,,,,,,
3.30E-01,6.92E-10,,,,,,
3.40E-01,1.24E-09,,,,,,
3.50E-01,2.19E-09,,,,,,
3.60E-01,3.80E-09,,,,,,
3.70E-01,6.46E-09,,,,,,
3.80E-01,1.08E-08,,,,,,
3.90E-01,1.78E-08,,,,,,
4.00E-01,2.90E-08,,,,,,
4.10E-01,4.63E-08,,,,,,
4.20E-01,7.29E-08,,,,,,
4.30E-01,1.13E-07,,,,,,
4.40E-01,1.73E-07,,,,,,
4.50E-01,2.62E-07,,,,,,
4.60E-01,3.90E-07,,,,,,
4.70E-01,5.72E-07,,,,,,
4.80E-01,8.30E-07,,,,,,
4.90E-01,1.19E-06,,,,,,
5.00E-01,1.67E-06,,,,,,
5.10E-01,2.32E-06,,,,,,
5.20E-01,3.19E-06,,,,,,
5.30E-01,4.31E-06,,,,,,
5.40E-01,5.74E-06,,,,,,
5.50E-01,7.54E-06,,,,,,
5.60E-01,9.77E-06,,,,,,
5.70E-01,1.25E-05,,,,,,
5.80E-01,1.57E-05,,,,,,
5.85E-01,1.75E-05,,,,,,
5.88E-01,1.85E-05,,,,,,
5.89E-01,1.90E-05,,,,,,
5.89E-01,1.91E-05,,,,,,
5.89E-01,1.92E-05,,,,,,
5.89E-01,1.92E-05,,,,,,
5.89E-01,1.92E-05,,,,,,
5.89E-01,1.92E-05,,,,,,
5.89E-01,1.92E-05,,,,,,
5.89E-01,1.92E-05,,,,,,
5.89E-01,1.92E-05,,,,,,
5.89E-01,1.92E-05,,,,,,
5.89E-01,1.92E-05,,,,,,
5.89E-01,1.92E-05,,,,,,
5.89E-01,1.92E-05,,,,,,
5.89E-01,1.92E-05,,,,,,
5.89E-01,1.92E-05,,,,,,
5.89E-01,1.92E-05,,,,,,
5.89E-01,1.92E-05,,,,,,
