Gate Voltage,Drain Current,Gate Voltage.1,Drain Current.1,Gate Voltage.2,Drain Current.2
0,2.77E-17,0,2.62E-17,0,2.93E-17
0.01,2.73E-17,0.01,2.57E-17,0.01,3.29E-17
0.02,2.74E-17,0.02,2.77E-17,0.02,3.03E-17
0.03,2.76E-17,0.03,3.12E-17,0.03,3.12E-17
0.04,2.72E-17,0.04,2.95E-17,0.04,2.96E-17
0.05,2.73E-17,0.05,3.19E-17,0.05,2.95E-17
0.06,2.76E-17,0.06,2.88E-17,0.06,2.87E-17
0.07,2.77E-17,0.07,3E-17,0.07,2.82E-17
0.08,2.73E-17,0.08,2.61E-17,0.08,3.09E-17
0.09,2.72E-17,0.09,2.93E-17,0.09,2.85E-17
0.1,2.73E-17,0.1,2.91E-17,0.1,2.74E-17
0.11,2.74E-17,0.11,2.81E-17,0.11,3.2E-17
0.12,2.73E-17,0.12,3.01E-17,0.12,2.89E-17
0.13,2.81E-17,0.13,3.18E-17,0.13,3.21E-17
0.14,3.13E-17,0.14,3.43E-17,0.14,3.34E-17
0.15,4.79E-17,0.15,4.44E-17,0.15,3.68E-17
0.16,1.27E-16,0.16,1.06E-16,0.16,6.24E-17
0.17,4.68E-16,0.17,3.68E-16,0.17,1.81E-16
0.18,1.82E-15,0.18,1.42E-15,0.18,6.53E-16
0.19,6.74E-15,0.19,5.28E-15,0.19,2.4E-15
0.2,2.31E-14,0.2,1.83E-14,0.2,8.47E-15
0.21,7.26E-14,0.21,5.85E-14,0.21,2.77E-14
0.22,2.07E-13,0.22,1.71E-13,0.22,8.36E-14
0.23,5.38E-13,0.23,4.53E-13,0.23,2.3E-13
0.24,1.3E-12,0.24,1.11E-12,0.24,5.82E-13
0.25,2.97E-12,0.25,2.55E-12,0.25,1.37E-12
0.26,6.49E-12,0.26,5.61E-12,0.26,3.06E-12
0.27,1.37E-11,0.27,1.19E-11,0.27,6.56E-12
0.28,2.8E-11,0.28,2.44E-11,0.28,1.36E-11
0.29,5.59E-11,0.29,4.87E-11,0.29,2.74E-11
0.3,1.09E-10,0.3,9.52E-11,0.3,5.38E-11
0.31,2.08E-10,0.31,1.82E-10,0.31,1.03E-10
0.32,3.88E-10,0.32,3.4E-10,0.32,1.94E-10
0.33,7.1E-10,0.33,6.22E-10,0.33,3.58E-10
0.34,1.27E-09,0.34,1.12E-09,0.34,6.49E-10
0.35,2.25E-09,0.35,1.98E-09,0.35,1.15E-09
0.36,3.89E-09,0.36,3.44E-09,0.36,2.01E-09
0.37,6.63E-09,0.37,5.86E-09,0.37,3.45E-09
0.38,1.11E-08,0.38,9.84E-09,0.38,5.83E-09
0.39,1.83E-08,0.39,1.62E-08,0.39,9.68E-09
0.4,2.96E-08,0.4,2.64E-08,0.4,1.58E-08
0.41,4.74E-08,0.41,4.22E-08,0.41,2.55E-08
0.42,7.46E-08,0.42,6.67E-08,0.42,4.06E-08
0.43,0.000000116,0.43,0.000000104,0.43,6.35E-08
0.44,0.000000177,0.44,0.000000159,0.44,9.81E-08
0.45,0.000000267,0.45,0.000000241,0.45,0.000000149
0.46,0.000000397,0.46,0.000000359,0.46,0.000000225
0.47,5.83E-07,0.47,5.29E-07,0.47,3.34E-07
0.48,0.000000843,0.48,0.000000769,0.48,0.00000049
0.49,0.0000012,0.49,0.0000011,0.49,0.000000709
0.5,0.0000017,0.5,0.00000156,0.5,0.00000101
0.51,0.00000235,0.51,0.00000218,0.51,0.00000143
0.52,0.00000322,0.52,0.000003,0.52,0.00000199
0.53,0.00000435,0.53,0.00000407,0.53,0.00000273
0.54,0.00000579,0.54,0.00000545,0.54,0.00000371
0.55,0.00000759,0.55,0.00000719,0.55,0.00000496
0.56,0.00000981,0.56,0.00000935,0.56,0.00000655
0.57,0.0000125,0.57,0.000012,0.57,8.53E-06
0.58,0.0000157,0.58,0.0000152,0.58,0.000011
0.59,0.0000195,0.59,0.0000189,0.59,0.0000139
0.6,2.29337E-05,0.6,0.0000233,0.6,0.0000174
0.61,2.69198E-05,0.61,2.39467E-05,0.61,1.76114E-05
0.62,3.1245E-05,0.62,2.72018E-05,0.62,2.00508E-05
0.63,3.58913E-05,0.63,3.06571E-05,0.63,2.26419E-05
0.64,4.08587E-05,0.64,3.43127E-05,0.64,2.5385E-05
0.65,4.61472E-05,0.65,3.81685E-05,0.65,2.828E-05
0.66,5.1795E-05,0.66,4.22246E-05,0.66,3.13269E-05
0.67,5.77718E-05,0.67,4.64809E-05,0.67,3.45256E-05
0.68,6.40696E-05,0.68,5.09374E-05,0.68,3.78763E-05
0.69,7.06886E-05,0.69,5.55943E-05,0.69,4.13788E-05
0.7,7.76287E-05,0.7,6.04513E-05,0.7,4.50332E-05
0.71,8.49292E-05,0.71,6.55086E-05,0.71,4.88396E-05
0.72,9.25576E-05,0.72,7.07662E-05,0.72,5.27978E-05
0.73,0.000100507,0.73,7.6224E-05,0.73,5.69079E-05
0.74,0.000108778,0.74,8.18821E-05,0.74,6.11699E-05
0.75,0.000117369,0.75,8.77404E-05,0.75,6.55837E-05
0.76,0.000126323,0.76,9.37989E-05,0.76,7.01495E-05
0.77,0.000135603,0.77,0.000100058,0.77,7.48672E-05
0.78,0.000145204,0.78,0.000106517,0.78,7.97367E-05
0.79,0.000155126,0.79,0.000113176,0.79,8.47582E-05
0.8,0.000165369,0.8,0.000120036,0.8,8.99315E-05
0.81,0.000175975,0.81,0.000127095,0.81,9.52567E-05
0.82,0.000186907,0.82,0.000134355,0.82,0.000100734
0.83,0.000198159,0.83,0.000141816,0.83,0.000106363
0.84,0.000209733,0.84,0.000149476,0.84,0.000112144
0.85,0.000221628,0.85,0.000157337,0.85,0.000118077
0.86,0.000233886,0.86,0.000165398,0.86,0.000124161
0.87,0.00024647,0.87,0.000173659,0.87,0.000130398
0.88,0.000259374,0.88,0.000182121,0.88,0.000136786
0.89,0.000272599,0.89,0.000190783,0.89,0.000143327
0.9,0.000286146,0.9,0.000199645,0.9,0.000150019
0.91,0.000300057,0.91,0.000208707,0.91,0.000156863
0.92,0.000314292,0.92,0.000217969,0.92,0.000163859
0.93,0.000328847,0.93,0.000227432,0.93,0.000171007
0.94,0.000343724,0.94,0.000237095,0.94,0.000178307
0.95,0.000358922,0.95,0.000246959,0.95,0.000185758
0.96,0.000374487,0.96,0.000257022,0.96,0.000193362
0.97,0.000390373,0.97,0.000267286,0.97,0.000201118
0.98,0.00040658,0.98,0.00027775,0.98,0.000209025
0.99,0.000423109,0.99,0.000288414,0.99,0.000217084
1,0.000439958,1,0.000299279,1,0.000225295
