Gate Voltage,Drain Current,Gate Voltage.1,Drain Current.1,Gate Voltage.2,Drain Current.2
0,2.68E-17,0,2.61E-17,0,2.56E-17
0.01,2.72E-17,0.01,2.5E-17,0.01,2.7E-17
0.02,2.74E-17,0.02,2.87E-17,0.02,2.48E-17
0.03,2.65E-17,0.03,2.71E-17,0.03,2.69E-17
0.04,2.78E-17,0.04,2.49E-17,0.04,2.49E-17
0.05,2.5E-17,0.05,2.88E-17,0.05,2.66E-17
0.06,2.79E-17,0.06,2.79E-17,0.06,2.85E-17
0.07,2.58E-17,0.07,2.5E-17,0.07,3.11E-17
0.08,2.81E-17,0.08,2.94E-17,0.08,2.81E-17
0.09,2.8E-17,0.09,2.78E-17,0.09,2.79E-17
0.1,2.85E-17,0.1,2.95E-17,0.1,2.95E-17
0.11,2.86E-17,0.11,3.03E-17,0.11,2.64E-17
0.12,2.7E-17,0.12,2.99E-17,0.12,2.87E-17
0.13,2.67E-17,0.13,2.54E-17,0.13,2.92E-17
0.14,2.69E-17,0.14,2.96E-17,0.14,2.99E-17
0.15,2.75E-17,0.15,3.09E-17,0.15,2.71E-17
0.16,2.91E-17,0.16,3.27E-17,0.16,2.76E-17
0.17,2.93E-17,0.17,5.68E-17,0.17,3.14E-17
0.18,2.98E-17,0.18,1.57E-16,0.18,4.75E-17
0.19,4.43E-17,0.19,5.6E-16,0.19,1.03E-16
0.2,9.46E-17,0.2,2.02E-15,0.2,3.34E-16
0.21,2.67E-16,0.21,6.98E-15,0.21,1.15E-15
0.22,8.45E-16,0.22,2.25E-14,0.22,3.84E-15
0.23,2.63E-15,0.23,6.7E-14,0.23,1.22E-14
0.24,7.86E-15,0.24,1.83E-13,0.24,3.61E-14
0.25,2.22E-14,0.25,4.61E-13,0.25,9.93E-14
0.26,5.91E-14,0.26,1.08E-12,0.26,2.53E-13
0.27,1.47E-13,0.27,2.41E-12,0.27,6E-13
0.28,3.43E-13,0.28,5.16E-12,0.28,1.34E-12
0.29,7.57E-13,0.29,1.07E-11,0.29,2.87E-12
0.3,1.6E-12,0.3,2.14E-11,0.3,5.92E-12
0.31,3.25E-12,0.31,4.21E-11,0.31,1.19E-11
0.32,6.41E-12,0.32,8.07E-11,0.32,2.32E-11
0.33,1.24E-11,0.33,1.52E-10,0.33,4.44E-11
0.34,2.33E-11,0.34,2.8E-10,0.34,8.31E-11
0.35,4.31E-11,0.35,5.07E-10,0.35,1.53E-10
0.36,7.83E-11,0.36,9.01E-10,0.36,2.76E-10
0.37,1.4E-10,0.37,1.57E-09,0.37,4.89E-10
