Gate Voltage,Drain Current,Gate Voltage.1,Drain Current.1,Gate Voltage.2,Drain Current.2
0,2.66E-17,0,2.61E-17,0,2.56E-17
0.01,2.7E-17,0.01,2.5E-17,0.01,2.7E-17
0.02,2.75E-17,0.02,2.87E-17,0.02,2.48E-17
0.03,2.85E-17,0.03,2.71E-17,0.03,2.69E-17
0.04,2.76E-17,0.04,2.49E-17,0.04,2.49E-17
0.05,2.54E-17,0.05,2.88E-17,0.05,2.66E-17
0.06,2.8E-17,0.06,2.79E-17,0.06,2.85E-17
0.07,2.6E-17,0.07,2.5E-17,0.07,3.11E-17
0.08,2.96E-17,0.08,2.94E-17,0.08,2.81E-17
0.09,2.81E-17,0.09,2.78E-17,0.09,2.79E-17
0.1,2.9E-17,0.1,2.95E-17,0.1,2.95E-17
0.11,2.82E-17,0.11,3.03E-17,0.11,2.64E-17
0.12,2.69E-17,0.12,2.99E-17,0.12,2.87E-17
0.13,2.63E-17,0.13,2.54E-17,0.13,2.92E-17
0.14,2.65E-17,0.14,2.96E-17,0.14,2.99E-17
0.15,2.7E-17,0.15,3.09E-17,0.15,2.71E-17
0.16,2.91E-17,0.16,3.27E-17,0.16,2.76E-17
0.17,2.87E-17,0.17,5.68E-17,0.17,3.14E-17
0.18,2.97E-17,0.18,1.57E-16,0.18,4.75E-17
0.19,3.82E-17,0.19,5.6E-16,0.19,1.03E-16
0.2,7.29E-17,0.2,2.02E-15,0.2,3.34E-16
0.21,2.08E-16,0.21,6.98E-15,0.21,1.15E-15
0.22,6.62E-16,0.22,2.25E-14,0.22,3.84E-15
0.23,2.15E-15,0.23,6.7E-14,0.23,1.22E-14
0.24,6.69E-15,0.24,1.83E-13,0.24,3.61E-14
0.25,1.96E-14,0.25,4.61E-13,0.25,9.93E-14
0.26,5.42E-14,0.26,1.08E-12,0.26,2.53E-13
0.27,1.39E-13,0.27,2.41E-12,0.27,6E-13
0.28,3.34E-13,0.28,5.16E-12,0.28,1.34E-12
0.29,7.53E-13,0.29,1.07E-11,0.29,2.87E-12
0.3,1.62E-12,0.3,2.14E-11,0.3,5.92E-12
0.31,3.34E-12,0.31,4.21E-11,0.31,1.19E-11
0.32,6.68E-12,0.32,8.07E-11,0.32,2.32E-11
0.33,1.3E-11,0.33,1.52E-10,0.33,4.44E-11
0.34,2.48E-11,0.34,2.8E-10,0.34,8.31E-11
0.35,4.63E-11,0.35,5.07E-10,0.35,1.53E-10
0.36,8.5E-11,0.36,9.01E-10,0.36,2.76E-10
0.37,1.53E-10,0.37,1.57E-09,0.37,4.89E-10
0.38,2.71E-10,0.38,2.7E-09,0.38,8.54E-10
0.39,4.72E-10,0.39,4.57E-09,0.39,1.46E-09
0.4,8.07E-10,0.4,7.6E-09,0.4,2.47E-09
0.41,1.36E-09,0.41,1.25E-08,0.41,4.1E-09
0.42,2.26E-09,0.42,2.01E-08,0.42,6.73E-09
0.43,3.71E-09,0.43,0.000000032,0.43,1.09E-08
0.44,5.99E-09,0.44,5.02E-08,0.44,1.73E-08
0.45,9.55E-09,0.45,7.77E-08,0.45,2.72E-08
0.46,0.000000015,0.46,0.000000119,0.46,4.22E-08
0.47,2.33E-08,0.47,1.79E-07,0.47,6.46E-08
0.48,3.58E-08,0.48,0.000000266,0.48,9.76E-08
0.49,5.43E-08,0.49,0.00000039,0.49,0.000000146
0.5,8.13E-08,0.5,0.000000567,0.5,0.000000215
0.51,0.000000121,0.51,0.000000811,0.51,0.000000313
0.52,0.000000176,0.52,0.00000115,0.52,0.000000452
0.53,0.000000255,0.53,0.0000016,0.53,0.000000643
0.54,0.000000365,0.54,0.0000022,0.54,0.000000904
0.55,0.000000517,0.55,0.000003,0.55,0.00000126
0.56,0.000000724,0.56,0.00000402,0.56,0.00000173
0.57,0.000001,0.57,5.31E-06,0.57,2.34E-06
0.58,0.00000137,0.58,0.00000694,0.58,0.00000314
0.59,0.00000186,0.59,0.00000894,0.59,0.00000416
0.6,0.00000249,0.6,0.0000114,0.6,0.00000544
0.61,0.0000033,0.61,0.0000143,0.61,0.00000702
0.62,0.00000432,0.62,0.0000177,0.62,0.00000896
0.63,0.00000558,0.63,2.07671E-05,0.63,0.0000113
0.64,0.00000714,0.64,2.43697E-05,0.64,0.000014
0.65,0.00000902,0.65,2.82532E-05,0.65,0.0000172
0.66,0.0000113,0.66,3.24176E-05,0.66,2.05782E-05
0.67,0.0000139,0.67,3.6902E-05,0.67,2.38019E-05
0.68,0.000017,0.68,4.16805E-05,0.68,2.75353E-05
0.69,0.0000205,0.69,4.67398E-05,0.69,3.15647E-05
0.7,2.37089E-05,0.7,5.20995E-05,0.7,3.58537E-05
0.71,2.74508E-05,0.71,5.77729E-05,0.71,4.04573E-05
0.72,3.15111E-05,0.72,6.37271E-05,0.72,4.53182E-05
0.73,3.58447E-05,0.73,6.99622E-05,0.73,5.048E-05
0.74,4.04767E-05,0.74,7.65305E-05,0.74,5.59151E-05
0.75,4.54018E-05,0.75,8.33796E-05,0.75,6.16326E-05
0.76,5.06055E-05,0.76,9.05097E-05,0.76,6.7642E-05
0.77,5.61223E-05,0.77,9.79533E-05,0.77,7.39151E-05
0.78,6.19109E-05,0.78,0.000105697,0.78,8.04987E-05
0.79,6.80061E-05,0.79,0.000113722,0.79,8.73397E-05
0.8,7.43863E-05,0.8,0.000122041,0.8,9.44855E-05
0.81,8.10533E-05,0.81,0.00013068,0.81,0.000101901
0.82,8.80251E-05,0.82,0.0001396,0.82,0.000109602
0.83,9.52687E-05,0.83,0.000148801,0.83,0.000117592
0.84,0.000102827,0.84,0.000158328,0.84,0.000125849
0.85,0.000110662,0.85,0.000168143,0.85,0.000134413
0.86,0.000118793,0.86,0.000178239,0.86,0.000143233
0.87,0.000127219,0.87,0.000188641,0.87,0.000152363
0.88,0.000135921,0.88,0.000199351,0.88,0.000161759
0.89,0.00014494,0.89,0.000210342,0.89,0.000171444
0.9,0.00015423,0.9,0.00022162,0.9,0.000181414
0.91,0.000163823,0.91,0.000233224,0.91,0.000191655
0.92,0.000173705,0.92,0.00024511,0.92,0.000202199
0.93,0.00018387,0.93,0.000257276,0.93,0.000213
0.94,0.000194344,0.94,0.000269763,0.94,0.000224114
0.95,0.000205089,0.95,0.000282543,0.95,0.000235489
0.96,0.000216146,0.96,0.000295605,0.96,0.000247159
0.97,0.000227483,0.97,0.000308967,0.97,0.000259108
0.98,0.000239111,0.98,0.000322642,0.98,0.000271333
0.99,0.00025104,0.99,0.000336598,0.99,0.000283857
1,0.00026324,1,0.000350835,1,0.000296638
