Gate Voltage,Drain Current,Gate Voltage.1,Drain Current.1,Gate Voltage.2,Drain Current.2
0,2.62E-17,0,2.62E-17,0,2.68E-17
0.01,2.55E-17,0.01,2.74E-17,0.01,2.67E-17
0.02,2.84E-17,0.02,2.5E-17,0.02,2.74E-17
0.03,2.7E-17,0.03,2.71E-17,0.03,2.79E-17
0.04,2.5E-17,0.04,2.51E-17,0.04,2.77E-17
0.05,2.82E-17,0.05,2.68E-17,0.05,2.5E-17
0.06,2.81E-17,0.06,2.85E-17,0.06,3.05E-17
0.07,2.46E-17,0.07,3.06E-17,0.07,2.6E-17
0.08,2.93E-17,0.08,2.87E-17,0.08,2.97E-17
0.09,2.82E-17,0.09,2.83E-17,0.09,2.81E-17
0.1,2.97E-17,0.1,2.86E-17,0.1,2.88E-17
0.11,2.8E-17,0.11,2.62E-17,0.11,2.81E-17
0.12,2.98E-17,0.12,2.88E-17,0.12,2.74E-17
0.13,2.74E-17,0.13,2.89E-17,0.13,2.67E-17
0.14,2.79E-17,0.14,2.96E-17,0.14,2.65E-17
0.15,2.88E-17,0.15,2.69E-17,0.15,2.69E-17
0.16,3.04E-17,0.16,2.53E-17,0.16,2.89E-17
0.17,3.85E-17,0.17,2.83E-17,0.17,2.91E-17
0.18,7.65E-17,0.18,3.54E-17,0.18,2.93E-17
0.19,2.36E-16,0.19,5.81E-17,0.19,3.35E-17
0.2,8.31E-16,0.2,1.46E-16,0.2,4.45E-17
0.21,2.93E-15,0.21,4.71E-16,0.21,9.64E-17
0.22,9.72E-15,0.22,1.59E-15,0.22,2.74E-16
0.23,3.01E-14,0.23,5.16E-15,0.23,8.76E-16
0.24,8.6E-14,0.24,1.58E-14,0.24,2.77E-15
0.25,2.26E-13,0.25,4.52E-14,0.25,8.36E-15
0.26,5.5E-13,0.26,1.2E-13,0.26,2.38E-14
0.27,1.26E-12,0.27,2.95E-13,0.27,6.36E-14
0.28,2.73E-12,0.28,6.8E-13,0.28,1.59E-13
0.29,5.71E-12,0.29,1.49E-12,0.29,3.7E-13
0.3,1.16E-11,0.3,3.11E-12,0.3,8.15E-13
0.31,2.29E-11,0.31,6.31E-12,0.31,1.71E-12
0.32,4.43E-11,0.32,1.24E-11,0.32,3.48E-12
0.33,8.37E-11,0.33,2.39E-11,0.33,6.85E-12
0.34,1.55E-10,0.34,4.51E-11,0.34,1.32E-11
0.35,2.82E-10,0.35,8.34E-11,0.35,2.48E-11
0.36,5.05E-10,0.36,1.51E-10,0.36,4.57E-11
0.37,8.88E-10,0.37,2.7E-10,0.37,8.28E-11
0.38,1.53E-09,0.38,4.74E-10,0.38,1.47E-10
0.39,2.61E-09,0.39,8.17E-10,0.39,2.58E-10
0.4,4.36E-09,0.4,1.39E-09,0.4,4.44E-10
0.41,7.18E-09,0.41,2.32E-09,0.41,7.54E-10
0.42,1.17E-08,0.42,3.82E-09,0.42,1.26E-09
0.43,1.87E-08,0.43,6.21E-09,0.43,2.08E-09
0.44,2.95E-08,0.44,9.95E-09,0.44,3.38E-09
0.45,4.59E-08,0.45,1.57E-08,0.45,5.41E-09
0.46,7.06E-08,0.46,2.45E-08,0.46,8.57E-09
0.47,0.000000107,0.47,3.78E-08,0.47,1.34E-08
0.48,0.000000161,0.48,5.76E-08,0.48,2.07E-08
0.49,0.000000237,0.49,8.65E-08,0.49,3.15E-08
0.5,0.000000347,0.5,0.000000129,0.5,4.75E-08
0.51,0.000000501,0.51,0.000000189,0.51,7.09E-08
0.52,0.000000715,0.52,0.000000274,0.52,0.000000104
0.53,0.00000101,0.53,0.000000393,0.53,0.000000152
0.54,0.0000014,0.54,0.000000558,0.54,0.00000022
0.55,0.00000193,0.55,0.000000783,0.55,0.000000313
0.56,0.00000262,0.56,0.00000109,0.56,0.000000442
0.57,3.51E-06,0.57,1.49E-06,0.57,6.18E-07
0.58,0.00000464,0.58,0.00000202,0.58,0.000000854
0.59,0.00000606,0.59,0.0000027,0.59,0.00000117
0.6,0.00000782,0.6,0.00000358,0.6,0.00000158
0.61,0.00000995,0.61,0.00000468,0.61,0.00000211
0.62,0.0000125,0.62,0.00000605,0.62,0.0000028
0.63,0.0000155,0.63,0.00000773,0.63,0.00000367
0.64,0.000019,0.64,0.00000976,0.64,0.00000475
0.65,2.25717E-05,0.65,0.0000122,0.65,0.00000608
0.66,2.61575E-05,0.66,0.000015,0.66,0.0000077
0.67,3.02163E-05,0.67,0.0000183,0.67,0.00000964
0.68,3.45762E-05,0.68,2.14786E-05,0.68,0.0000119
0.69,3.92797E-05,0.69,2.48826E-05,0.69,0.0000146
0.7,4.42871E-05,0.7,2.86684E-05,0.7,0.0000177
0.71,4.95958E-05,0.71,3.27328E-05,0.71,1.84082E-05
0.72,5.52055E-05,0.72,3.7076E-05,0.72,2.08166E-05
0.73,6.11165E-05,0.73,4.16978E-05,0.73,2.33697E-05
0.74,6.73285E-05,0.74,4.65984E-05,0.74,2.60676E-05
0.75,7.38418E-05,0.75,5.17776E-05,0.75,2.89102E-05
0.76,8.06561E-05,0.76,5.72356E-05,0.76,3.18975E-05
0.77,8.77844E-05,0.77,6.29907E-05,0.77,3.50295E-05
0.78,9.52463E-05,0.78,6.90281E-05,0.78,3.83062E-05
0.79,0.000103009,0.79,7.53443E-05,0.79,4.17277E-05
0.8,0.000111074,0.8,8.19391E-05,0.8,4.52939E-05
0.81,0.000119439,0.81,8.88127E-05,0.81,4.90048E-05
0.82,0.000128105,0.82,9.59649E-05,0.82,5.28604E-05
0.83,0.000137073,0.83,0.000103396,0.83,5.68607E-05
0.84,0.000146342,0.84,0.000111106,0.84,6.10057E-05
0.85,0.000155912,0.85,0.000119094,0.85,6.52955E-05
0.86,0.000165811,0.86,0.000127361,0.86,6.973E-05
0.87,0.000176029,0.87,0.000135907,0.87,7.43092E-05
0.88,0.000186548,0.88,0.000144731,0.88,7.90331E-05
0.89,0.000197367,0.89,0.000153834,0.89,8.39018E-05
0.9,0.000208488,0.9,0.000163216,0.9,8.89151E-05
0.91,0.00021991,0.91,0.000172882,0.91,9.40732E-05
0.92,0.000231634,0.92,0.000182843,0.92,9.9376E-05
0.93,0.000243658,0.93,0.000193083,0.93,0.000104823
0.94,0.000255984,0.94,0.000203602,0.94,0.000110416
0.95,0.000268654,0.95,0.000214399,0.95,0.000116153
0.96,0.000281627,0.96,0.000225475,0.96,0.000122034
0.97,0.000294902,0.97,0.00023683,0.97,0.000128061
0.98,0.000308477,0.98,0.000248464,0.98,0.000134232
0.99,0.000322354,0.99,0.000260376,0.99,0.000140548
1,0.000347759,1,0.00028095,1,0.000147008
