Gate Voltage,Drain Current,Gate Voltage.1,Drain Current.1,Gate Voltage.2,Drain Current.2
0,2.66E-17,0,2.64E-17,0,2.7E-17
0.01,2.55E-17,0.01,2.77E-17,0.01,2.84E-17
0.02,2.89E-17,0.02,2.5E-17,0.02,2.71E-17
0.03,2.69E-17,0.03,2.68E-17,0.03,2.79E-17
0.04,2.51E-17,0.04,2.49E-17,0.04,2.73E-17
0.05,2.82E-17,0.05,2.73E-17,0.05,2.53E-17
0.06,2.83E-17,0.06,2.9E-17,0.06,2.85E-17
0.07,2.51E-17,0.07,3.14E-17,0.07,2.63E-17
0.08,2.93E-17,0.08,2.79E-17,0.08,2.79E-17
0.09,2.84E-17,0.09,2.75E-17,0.09,2.84E-17
0.1,2.94E-17,0.1,2.93E-17,0.1,2.86E-17
0.11,2.87E-17,0.11,2.64E-17,0.11,2.87E-17
0.12,2.98E-17,0.12,3.05E-17,0.12,2.75E-17
0.13,2.73E-17,0.13,2.89E-17,0.13,2.49E-17
0.14,2.96E-17,0.14,3E-17,0.14,2.64E-17
0.15,3.13E-17,0.15,2.65E-17,0.15,2.76E-17
0.16,4.2E-17,0.16,2.78E-17,0.16,2.84E-17
0.17,8.12E-17,0.17,3.8E-17,0.17,2.92E-17
0.18,2.56E-16,0.18,6.06E-17,0.18,3.32E-17
0.19,8.94E-16,0.19,1.57E-16,0.19,4.74E-17
0.2,3.09E-15,0.2,5.13E-16,0.2,1.03E-16
0.21,1.01E-14,0.21,1.71E-15,0.21,3.07E-16
0.22,3.08E-14,0.22,5.48E-15,0.22,9.66E-16
0.23,8.71E-14,0.23,1.66E-14,0.23,3.02E-15
0.24,2.27E-13,0.24,4.7E-14,0.24,9.03E-15
0.25,5.51E-13,0.25,1.24E-13,0.25,2.55E-14
0.26,1.26E-12,0.26,3.03E-13,0.26,6.76E-14
0.27,2.74E-12,0.27,6.98E-13,0.27,1.68E-13
0.28,5.75E-12,0.28,1.52E-12,0.28,3.89E-13
